Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
,Unique,(),(),Instruction Mode,Instructor,Status,Flags,Core
ADV  332C NEW MEDIA ENTREPRENEURIALISM         ,06905,"(('TH', '12:30 p.m.-3:30 p.m.'),)","('DMC 2.106',)",Hybrid or Blended,"BUNTING, JAMES MARTIN",open,,
ARC  380C 2-REALITY CAPTURE FOR ARCH         ,01015,"(('TH', '12:30 p.m.-3:30 p.m.'),)","('WMB 6.126',)",Face-to-face,"STEPNOSKI, ROBERT F",open; reserved,,
ECO  387M WRITING SEMINAR IN ECONOMICS         ,33980,"(('TH', '12:30 p.m.-2:00 p.m.'), ('F', '12:30 p.m.-2:00 p.m.'))","('BRB 1.118', 'BRB 1.118')",Face-to-face,"CHYN, ERIC",open,,
EDC  339F ADOLESCENT LITERACY         ,10505,"(('TH', '12:30 p.m.-3:30 p.m.'),)","('SZB 4.312',)",Face-to-face,,open,,
GOV  384M PUBLIC POLICY PROCESS         ,37645,"(('TH', '12:30 p.m.-3:30 p.m.'),)","('MEZ 5.104',)",Face-to-face,"JONES, BRYAN DAVIDSON",open; reserved,,
GOV  388L RESEARCH IN INTL POLITICS         ,37695,"(('TH', '12:30 p.m.-3:30 p.m.'),)","('BAT 5.102',)",Face-to-face,"WOLFORD, MICHAEL SCOTT",open; reserved,,
HIS  382N CONTEMPORARY CHINESE HISTORY         ,38315,"(('TH', '12:30 p.m.-3:30 p.m.'),)","('GAR 1.122',)",Face-to-face,"LI, HUAIYIN",open,,
INF  385T 2-VISUALIZATION         ,27775,"(('TH', '12:30 p.m.-3:30 p.m.'),)","('UTA 1.502',)",Face-to-face,"FRANCISCO-REVILLA, LUIS",open; reserved,,
INF  391D 12-DISCIP FNDATNS FOR INF STDS         ,27840,"(('TH', '12:30 p.m.-3:30 p.m.'),)","('UTA 1.204',)",Face-to-face,"ACKER, AMELIA",open,,
J  363C BROADCAST CAPSTONE         ,08885,"(('TH', '12:30 p.m.-2:00 p.m.'), ('TH', '2:00 p.m.-5:00 p.m.'))","('DMC 3.208', 'DMC 3.208')",Face-to-face,"WEST, KATHARINE",open,,
LAR  381S REALITY CAPTURE FOR ARCH         ,01610,"(('TH', '12:30 p.m.-3:30 p.m.'),)","('WMB 6.126',)",Face-to-face,"STEPNOSKI, ROBERT F",open; reserved,,
LAR  385M DESIGN METHODS         ,01645,"(('TH', '12:30 p.m.-3:30 p.m.'),)","('WMB 5.112',)",Face-to-face,"SHEARER, ALLAN W",open; reserved,,
MUS  276V OBOE LITERATURE         ,22585,"(('TH', '12:30 p.m.-2:00 p.m.'),)","('MRH 2.106',)",Face-to-face,"PARKER, ANDREW A",open; reserved,,
NEU  365L NEUROBIOLOGY LABORATORY         ,54685,"(('TH', '12:30 p.m.-5:30 p.m.'),)","('PAI 1.04',)",Face-to-face,"CHANCEY, JESSICA H",open; reserved,WritingIndependent Inquiry,
P R  332C NEW MEDIA ENTREPRENEURIALISM         ,07595,"(('TH', '12:30 p.m.-3:30 p.m.'),)","('DMC 2.106',)",Hybrid or Blended,"BUNTING, JAMES MARTIN",open,,
PGS  196S SEMINAR IN PHARMACY         ,58265,"(('TH', '12:30 p.m.-2:00 p.m.'),)","('PHR 4.114',)",Face-to-face,"WHITMAN, CHRISTIAN P",open,,
PHL  396W DISSERTATION SEMINAR         ,40780,"(('TH', '12:30 p.m.-3:30 p.m.'),)","('WAG 316A',)",Face-to-face,"BENGSON, JOHN THOMAS STEE",open; reserved,,
U D  380C 2-REALITY CAPTURE FOR ARCH         ,01760,"(('TH', '12:30 p.m.-3:30 p.m.'),)","('WMB 6.126',)",Face-to-face,"STEPNOSKI, ROBERT F",open,,
UTS  101 SEC TCHR EDUC PREP: STEP 1         ,46630,"(('TH', '12:30 p.m.-2:00 p.m.'),)","('PAI 4.18',)",Face-to-face,"RODRIGUEZ, SHELLY R",open,,
ALD  327 SOCIOCUL INFLUENCES ON LRN-SED         ,10360,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('SZB 2.808',)",Face-to-face,"COOC, NORTH A",open; reserved,Cultural Diversity,
AMS  386 CULTURAL HIST OF US SINCE 1865         ,30935,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('BUR 436B',)",Face-to-face,"MICKENBERG, JULIA L",open,,
ANT  391 POLIT/CONDITNS OF INDIGENEITY         ,31430,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('WCP 4.118',)",Face-to-face,"STURM, CIRCE",open,,
CRP  387C 7-RACE/THE BUILT ENVIRONMENT         ,01465,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('CAL 21',)",Face-to-face,"COLLINS, MIRIAM S",open; reserved,,
EDC  339D READING ASSESSMENT AND DEVEL-B         ,10485,"(('TH', '1:00 p.m.-4:00 p.m.'),)","(' ',)",Face-to-face,,open,,
EDC  370E 2-LANGUAGE ARTS-P         ,10685,"(('TH', '1:00 p.m.-4:00 p.m.'),)","(' ',)",Face-to-face,,open,Writing,
EDC  370E 4-SOCIAL STUDIES-E         ,10705,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('SZB 4.624',)",Face-to-face,,open,,
EDC  370E 4-SOCIAL STUDIES-Y         ,10715,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('CBA 4.336',)",Face-to-face,,open,,
EDC  370E 20-TEACH ENG AS SEC LANG-J         ,10745,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('SZB 3.322',)",Face-to-face,,open,Independent Inquiry,
EDC  371G TEACHING YOUNG CHILDREN-K         ,10795,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('SZB 3.718',)",Face-to-face,,open; reserved,,
EDP  385C 12-ACAD/STDNT AFF IN HIGHER ED         ,11855,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('SZB 4.302',)",Face-to-face,"BROWNSON, CHRIS B",open; reserved,,
ELP  390S SOCIAL/CUL CONTEXT OF EDUC         ,11275,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('SZB 2.414',)",Face-to-face,,open; reserved,,
ELP  394D SCHOOL DIST ADMIN FUNCT II         ,11345,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('SZB 3.222',)",Face-to-face,"CRUZ, PAUL",open,,
ELP  394R SCH DIST RESTRUCT/RENEWAL         ,11375,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('SZB 3.808',)",Face-to-face,"WOULFIN, SARAH L",open; reserved,,
ELP  395K 6-LEGISLATV ISS IN HIGHER EDU         ,11394,"(('TH', '1:00 p.m.-4:00 p.m.'),)","(' ',)",Face-to-face,"SAENZ, VICTOR",open,,
H E  102P ETHICS ACROSS LIFE         ,51570,"(('TH', '1:00 p.m.-2:00 p.m.'),)","('GEA 100',)",Face-to-face,"VILLANUEVA, SARA",open,Ethics,
HDF  266L GUIDANCE ADULT-CHILD REL LAB         ,52170,"(('TH', '1:00 p.m.-5:00 p.m.'),)","('SEA 1.440',)",Face-to-face,"PORTER, ELIZABETH A",open,,
HED  395 27-PHYS ACTVTY/PUBL HLTH PRACT         ,12085,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('UTA 6.324',)",Face-to-face,"KOHL, HAROLD WILLIS III",open,,
HIS  392 CULTURAL HIST OF US SINCE 1865         ,38345,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('BUR 436B',)",Face-to-face,"MICKENBERG, JULIA L",open,,
KIN  395 PHYS ACTIV AND PUBLIC HEAL         ,12740,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('UTA 6.324',)",Face-to-face,"KOHL, HAROLD WILLIS III",open,,
L A  119 MAY TERM SEM: GREAT BRITAIN         ,29920,"(('TH', '1:00 p.m.-2:00 p.m.'),)","('SSW 1.212',)",Face-to-face,"GULBAS, LAUREN EVOSS, TANYA M",open,,
LAW  280T PERSUASIVE WRTG AND ADVOCACY         ,28005,"(('TH', '1:00 p.m.-2:15 p.m.'), ('F', '11:45 a.m.-1:00 p.m.'))","('TNH 2.124', 'TNH 2.124')",Face-to-face,"MASON, LORI R",open; reserved,,
LAW  280T PERSUASIVE WRTG AND ADVOCACY         ,28025,"(('TH', '1:00 p.m.-2:15 p.m.'), ('F', '11:45 a.m.-1:00 p.m.'))","('TNH 3.124', 'TNH 3.124')",Face-to-face,"PETRIE, SEAN J",open; reserved,,
LAW  391P ANIMAL LAW         ,28495,"(('TH', '1:00 p.m.-3:45 p.m.'),)","('JON 6.207',)",Face-to-face,"REVELEY, DAWN",open; reserved,,
LAW  697C CLINIC: CHILDREN'S RIGHTS         ,28795,"(('TH', '1:00 p.m.-3:45 p.m.'),)","('TNH 3.125',)",Face-to-face,"DUKE, LORI KSTRAUCH, LESLIE L",open; reserved,,
N  266 NUR CARE OF CHILDREN AND FAMS         ,57225,"(('TH', '1:00 p.m.-3:00 p.m.'),)","('NUR 1.108',)",Face-to-face,"HAUNGS, RACHEL R",open; reserved,,
N  381M 6-NUR SCI DMN INQ/INTRDSP PSP         ,57415,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('NUR 4.180',)",Face-to-face,"REW, DONNA L",open,,
N  386Q QUALITY & SAFETY IN HEALTHCARE         ,57440,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('NUR 4.176',)",Face-to-face,"MORRIS, LISA KUBINA",open,,
N  389N ADULT GERONTLGY CNS PRAC II         ,57530,"(('TH', '1:00 p.m.-3:00 p.m.'),)","('NUR 3.170',)",Face-to-face,"DELVILLE, CAROL L",open,,
N  389N ADULT GERONTLGY CNS PRAC II         ,57534,"(('TH', '1:00 p.m.-3:00 p.m.'),)","('NUR 3.172',)",Face-to-face,"ROHLICH, LIZ M",open; reserved,,
N  395 3-BIG DATA HLTH SCIENCE RSRCH         ,57730,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('NUR 3.170',)",Hybrid or Blended,"KESLER, SHELLI",open,,
N  395D PED CLIN PHARMACOL & THERAPEUT         ,57745,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('NUR 4.174',)",Face-to-face,"EDGAR, CARLY E",open,,
NSC  109 PRFSSNLSM HLTHCRE: CORE COMP         ,46357,"(('TH', '1:00 p.m.-2:00 p.m.'),)","('PAI 4.28',)",Hybrid or Blended,"LAUDE, DAVID A",open,,
NSC  110H NAT SCI HONORS SEMINAR         ,46405,"(('TH', '1:00 p.m.-2:00 p.m.'),)","('PAI 5.42',)",Face-to-face,"COHEN-FORD, RACHEL GRACE",open; reserved,,
P A  388K LEGISLATIVE ISS IN HIGHER EDUC         ,59515,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('SZB 4.406',)",Face-to-face,"SMITH ARRILLAGA, ELISHA",open; reserved,,
SED  378D ASSMT PRAC IN AUTISM/DEVEL DIS         ,13385,"(('TH', '1:00 p.m.-4:00 p.m.'),)","(' ',)",Face-to-face,"WINDHAM, BRANDY L",open,Quantitative Reasoning,
"SED  380 INCL, DISB, DIV IN SEC SCH STG         ",13410,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('SZB 3.802',)",Face-to-face,"FRAGALE, CHRISTINA LIN",open,,
U D  386M 1-RACE/THE BUILT ENVIRONMENT         ,01785,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('CAL 21',)",Face-to-face,"COLLINS, MIRIAM S",open; reserved,,
UGS  302 ART OF SCIENCE COMMUNICATION         ,60650,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('NUR 5.180',)",Face-to-face,"OSIER, NICO",open,Writing,First-Year Signature Course
UGS  016 FIRST-YR INTEREST GROUP-CNS         ,61835,"(('TH', '1:00 p.m.-2:00 p.m.'),)","('MBB 1.210',)",Face-to-face,,open,,
UGS  016T TRANSFER INTEREST GRP SEM-CNS         ,62030,"(('TH', '1:00 p.m.-2:00 p.m.'),)","('WCH 1.108',)",Face-to-face,"WANDELT, JESSICA E",open,,
UGS  016T TRANSFER INTEREST GRP SEM-CNS         ,62035,"(('TH', '1:00 p.m.-2:00 p.m.'),)","('WCH 1.110',)",Face-to-face,"WANDELT, JESSICA E",open,,
WGS  393 CULTURAL HIST OF US SINCE 1865         ,44585,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('BUR 436B',)",Face-to-face,"MICKENBERG, JULIA L",open,,
WGS  393 SUBJECTS/ RACIAL CAPITALISM         ,44635,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('BUR 436B',)",Face-to-face,"CHHUN, LINA",cancelled,,
WRT  380S STUDIES IN CREATIVE WRITING         ,62480,"(('TH', '1:00 p.m.-4:00 p.m.'),)","('FDH 213',)",Face-to-face,"FOERSTER, JENNIFER E",open; reserved,,
HDF  113L CHILD DEVELOPMENT LABORATORY         ,51870,"(('TH', '1:30 p.m.-3:00 p.m.'),)","('SEA 1.440',)",Face-to-face,"SPERANZA, HALLIE G",open,,
AED  384 ART IN PUBLIC PLACES         ,19910,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('ART 3.408',)",Face-to-face,"STIENECKER, DAWN",open,,
ANT  391 INDIGENOUS POLITICS         ,31425,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('WCP 5.118',)",Face-to-face,"CASUMBAL-SALAZAR, IOKEPA",open,,
ARC  327R 13-MANAGING THE DESIGN PROJECT         ,00785,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('SUT 2.110',)",Face-to-face,"JENNINGS, RICHARD WAYNE",open,,
ARC  327R 30-BUILDING MATTERS         ,00800,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('SUT 3.112',)",Face-to-face,"ALTER, KEVIN S",open,,
ARC  386M 14-MANAGING THE DESIGN PROJECT         ,01110,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('SUT 2.110',)",Face-to-face,"JENNINGS, RICHARD WAYNE",open; reserved,,
ARC  386M 42-BUILDING MATTERS         ,01140,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('SUT 3.112',)",Face-to-face,"ALTER, KEVIN S",open,,
ARI  350R 2-MANAGING THE DESIGN PROJECT         ,00385,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('SUT 2.110',)",Face-to-face,"JENNINGS, RICHARD WAYNE",open,,
BDP  101 7-INTRO TO NONPROFIT WORLD         ,60568,"(('TH', '2:00 p.m.-4:00 p.m.'),)","('FAC 4',)",Face-to-face,"PASSOVOY, DENNIS S",open,,
BIO  165U HUMAN SYSTEMS PHYSIO LAB         ,48790,"(('TH', '2:00 p.m.-6:00 p.m.'),)","('PAI 3.20',)",Face-to-face,"MACHART, JAN M",open,,
BIO  165U HUMAN SYSTEMS PHYSIO LAB         ,48825,"(('TH', '2:00 p.m.-6:00 p.m.'),)","('PAI 3.12',)",Face-to-face,"MACHART, JAN M",open,,
BIO  384L ISSUES IN POPULATION BIOLOGY         ,49150,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('NHB 1.720',)",Face-to-face,"WOLF, AMELIA",open; reserved,,
C E  395R 2-PROJECT INFO MANAGEMENT SYS         ,16265,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('ECJ 3.122',)",Face-to-face,"CALDAS, CARLOS H",open; reserved,,
CH  128L ORGANIC CHEMISTRY LABORATORY         ,50140,"(('TH', '2:00 p.m.-3:00 p.m.'), ('TH', '3:00 p.m.-6:00 p.m.'))","('CPE 2.218', 'NHB 1.102')",Face-to-face,"FJETLAND, CONRAD R",open; reserved,,
CH  128L ORGANIC CHEMISTRY LABORATORY         ,50145,"(('TH', '2:00 p.m.-3:00 p.m.'), ('TH', '3:00 p.m.-6:00 p.m.'))","('CPE 2.218', 'NHB 1.106')",Face-to-face,"FJETLAND, CONRAD R",open; reserved,,
CH  128L ORGANIC CHEMISTRY LABORATORY         ,50150,"(('TH', '2:00 p.m.-3:00 p.m.'), ('TH', '3:00 p.m.-6:00 p.m.'))","('CPE 2.218', 'NHB 1.110')",Face-to-face,"FJETLAND, CONRAD R",open; reserved,,
CH  128L ORGANIC CHEMISTRY LABORATORY         ,50155,"(('TH', '2:00 p.m.-3:00 p.m.'), ('TH', '3:00 p.m.-6:00 p.m.'))","('CPE 2.218', 'NHB 1.118')",Face-to-face,"FJETLAND, CONRAD R",open; reserved,,
CH  128L ORGANIC CHEMISTRY LABORATORY         ,50160,"(('TH', '2:00 p.m.-3:00 p.m.'), ('TH', '3:00 p.m.-6:00 p.m.'))","('CPE 2.218', 'NHB 1.126')",Face-to-face,"FJETLAND, CONRAD R",open; reserved,,
"CHE  253M MEAS, CNTRL, AND DATA ANLY LAB         ",15340,"(('TH', '2:00 p.m.-6:00 p.m.'),)","('CPE 1.420',)",Face-to-face,"LANDAVERDE ALVARADO, CARLBRENNECKE, JOAN F",open; reserved,,
CRP  384 12-TRANSPORTATION EQUITY ANLY         ,01425,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('SUT 3.126',)",Face-to-face,"KARNER, ALEX",open,,
CRP  395D PLANNING STUDIO         ,01490,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('CMA 3.108',)",Face-to-face,"JIAO, JUNFENG",open; reserved,,
D S  235 INTRO TO DECISION SCIENCE         ,04230,"(('TH', '2:00 p.m.-4:00 p.m.'),)","('UTC 3.112',)",Face-to-face,"CAO, JUNYU",open; reserved,Quantitative Reasoning,
DES  330T FUTURE-SHAPING         ,21085,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('ART 1.202',)",Face-to-face,"GLASS, TAMIE MICHELE",open; reserved,,
E  395M END OF WORLD IN AMER LIT/CUL         ,35240,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('CAL 323',)",Face-to-face,"WILKS, JENNIFER M",open,,
ECO  387E 4-ADV MACRO LABOR II         ,33955,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('BRB 2.136',)",Face-to-face,"MUELLER, ANDREAS I",open,,
ELP  351N SORORITY/FRATERNITY LDRSP ISSU         ,11170,"(('TH', '2:00 p.m.-5:00 p.m.'),)","(' ',)",Hybrid or Blended,"GARRARD, DOUGLAS C",open,,
FR  390M PROUST'S WORLD         ,35715,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('HRH 2.106C',)",Face-to-face,"PICHERIT, HERVE",open,,
H S  679HB HONORS TUTORIAL COURSE         ,29480,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('RLP 0.122',)",Face-to-face,"PALMO, NINA J",open; reserved,Writing,
ITD  330T FUTURE SHAPING         ,21267,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('ART 1.202',)",Face-to-face,"GLASS, TAMIE MICHELE",open,,
L A  117 STRATS CRIT THINKG FOR SUCCESS         ,29915,"(('TH', '2:00 p.m.-3:30 p.m.'),)","('GDC 2.502',)",Face-to-face,"BURNETT, BENJAMIN R",open,,
LAR  385 MATERIALS: PRODUCTS/PROCESSES         ,01634,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('WMB 5.102',)",Face-to-face,,open; reserved,,
LAT  390 THE GOOD DEATH         ,33255,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('WAG 10',)",Face-to-face,"EBBELER, JENNIFER V",open; reserved,,
LAW  389V ADV RSRCH IN CRIMNL JUSTICE         ,28435,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('SRH 3.220',)",Face-to-face,"DEITCH, MICHELE Y",cancelled,,
MAN  337 FORTY ACRES FOUNDERS PRACT         ,05495,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('CBA 4.340',)",Face-to-face,"MARTINS, LUIS D L",open; reserved,,
MEL  383C CURRENT ISSUES IN HEBREW BIBLE         ,39850,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('JES A205A',)",Face-to-face,"KAPLAN, JONATHAN",open,,
MES  385 5-MOD IRANIAN HIST & HISTORIOG         ,39535,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('UTC 1.142',)",Face-to-face,"KOYAGI, MIKIYA",open,,
N  157P CLINICAL NUR SKILLS II PRAC         ,57200,"(('TH', '2:00 p.m.-4:00 p.m.'),)","('NUR 4.108',)",Face-to-face,"GAMEZ, YURI D",open; reserved,,
N  157P CLINICAL NUR SKILLS II PRAC         ,57205,"(('TH', '2:00 p.m.-4:00 p.m.'),)","('NUR 4.118',)",Face-to-face,"BLANK, ADAM",open; reserved,,
N  157P CLINICAL NUR SKILLS II PRAC         ,57210,"(('TH', '2:00 p.m.-4:00 p.m.'),)","('NUR 4.120',)",Face-to-face,"MENDOZA, ANNA CHRISTINA",open; reserved,,
N  275 PUBLIC HEALTH NURSING         ,57285,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('NUR 1.112',)",Hybrid or Blended,"HORTON, SHALONDA E",open; reserved,Cultural Diversity,
NSC  371 CAPSTONE THESIS SEMINAR-HSS         ,46525,"(('TH', '2:00 p.m.-4:00 p.m.'),)","('PAI 5.42',)",Face-to-face,"WILCOX, REBECCA A",open; reserved,WritingIndependent Inquiry,
NTR  126L NUTRITIONAL SCIENCES LAB         ,52410,"(('TH', '2:00 p.m.-5:00 p.m.'), ('F', '11:00 a.m.-12:00 p.m.'))","('PAI 5.30', 'RLP 1.104')",Face-to-face,"KLINGBEIL, ELIZABETH",open,,
O M  235 OPERATIONS MANAGEMENT-WB         ,04885,"(('TH', '2:00 p.m.-4:00 p.m.'),)","(' ',)",Internet,"ANDERSON, MARY ANN",open,,
O M  235H OPERATIONS MANAGEMENT: HONORS         ,04900,"(('TH', '2:00 p.m.-4:00 p.m.'),)","('CBA 4.304',)",Face-to-face,"BAGCHI, UTTARAYAN",open,,
P A  680PB EDUCATION FINANCE IN TEXAS         ,59240,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('SRH 3.212',)",Face-to-face,"CUMPTON, GREG BELKNAP",open,,
P A  680PB WRONG POCKET PROBLM/HEALTHCARE         ,59250,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('SRH 3.124',)",Face-to-face,"OLMSTEAD, TODD A",open; reserved,,
P A  682GB US BRDR PLCY AND MIGRNT SAFETY         ,59270,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('SRH 3.314',)",Face-to-face,"KLEIN, ADAM I",open; reserved,,
P A  384C PUBLIC MANAGEMENT         ,59300,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('SRH 3.316',)",Face-to-face,"ABNER, GORDON B",open; reserved,,
P A  388K ADV RESEARCH IN CRMNL JUSTICE         ,59360,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('SRH 3.220',)",Face-to-face,"DEITCH, MICHELE Y",cancelled,,
P A  388K ASIAN SECURITY POLICY         ,59380,"(('TH', '2:00 p.m.-5:00 p.m.'),)","(' ',)",Face-to-face,"SANKARAN, JAGANATH",open,,
P A  388K NONPROF ISRLI ORGS/IMPRV PLSTN         ,59525,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('SRH 3.216',)",Face-to-face,"EATON, DAVID J",open; reserved,,
P A  394C RESEARCH DESIGN AND METHODS I         ,59775,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('SRH 3.214',)",Face-to-face,"RITTENHOUSE, KATHERINE",open,,
PHY  105M LAB FOR PHY 302K/303K/317K         ,55495,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('PMA 8.202',)",Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105M LAB FOR PHY 302K/303K/317K         ,55500,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('PMA 8.206',)",Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105M LAB FOR PHY 302K/303K/317K         ,55505,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('PMA 8.210',)",Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105M LAB FOR PHY 302K/303K/317K         ,55510,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('PMA 8.320',)",Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105N LAB FOR PHY 302L/303L/317L         ,55720,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('PMA 8.208',)",Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105N LAB FOR PHY 302L/303L/317L         ,55725,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('PMA 8.316',)",Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105N LAB FOR PHY 302L/303L/317L         ,55730,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('PMA 8.318',)",Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  110C BEING HUMAN IN PHYSICS         ,55785,"(('TH', '2:00 p.m.-3:00 p.m.'),)","('PMA 6.104',)",Face-to-face,"GORDON, VERNITA",open; reserved,Ethics,
PHY  115L LABORATORY FOR PHY 315         ,55815,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('PMA 7.322',)",Face-to-face,"HEINZEN, DANIEL J",open,,
PSY  394V 12-SELF AND IDENTITY         ,41535,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('SEA 5.109',)",Face-to-face,"SWANN, WILLIAM B JR",closed,,
REE  388 2-GLOBAL RACE AND RACISM         ,42520,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('BUR 228',)",Face-to-face,"OHUERI, CHELSI WEST",open,,
RTF  368S 3-SCREENWRITING THESIS         ,09650,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('CMA 6.146',)",Face-to-face,"WILLETT, THOMAS",open; reserved,Independent Inquiry,
RTF  369 1-ADV SCRNWRT FOR FEATURE FILM         ,09660,"(('TH', '2:00 p.m.-5:00 p.m.'),)","('CMA 6.146',)",Face-to-face,"LOGAN, ANDREW",open; reserved,Writing,
STA  235 DATA SCI FOR BUSINESS APPLCTNS         ,05230,"(('TH', '2:00 p.m.-4:00 p.m.'),)","('UTC 3.104',)",Face-to-face,"BOLFARINE, HENRIQUE",open; reserved,Quantitative Reasoning,
STA  235 DATA SCI FOR BUSINESS APPLCTNS         ,05235,"(('TH', '2:00 p.m.-4:00 p.m.'),)","('UTC 3.110',)",Face-to-face,"MURRAY, JARED SCOTT",open; reserved,Quantitative Reasoning,
UGS  016 FIRST-YR INTEREST GROUP-CNS         ,61850,"(('TH', '2:00 p.m.-3:00 p.m.'),)","('GEA 100',)",Face-to-face,"SANDOVAL-SWEENEY, AUSTIN",open,,
LAW  397S SMNR: COMPLIANCE/CRISIS AVOID         ,28960,"(('TH', '2:15 p.m.-4:15 p.m.'),)","('JON 6.257',)",Face-to-face,"LORNE, SIMON",cancelled,,
E S  260 SERVICE LEARNING FOR ENGINEERS         ,13730,"(('TH', '2:30 p.m.-4:30 p.m.'),)","(' ',)",Face-to-face,"CRAWFORD, RICHARD H",open; reserved,,
LAW  384F CORPORATE FINANCE         ,28224,"(('TH', '2:30 p.m.-4:30 p.m.'), ('F', '1:00 p.m.-2:00 p.m.'))","('TNH 3.115', 'TNH 3.115')",Face-to-face,"LORNE, SIMON",open; reserved,,
LAW  187Q EMERGING SKILLS: LITIGATORS         ,28395,"(('TH', '2:30 p.m.-4:30 p.m.'),)","('TNH 3.140',)",Face-to-face,"HORTON, BRYAN RUSSELLMELSHEIMER, THOMAS M",open; reserved,,
LAW  697C CLINIC: ENVIRONMENTAL         ,28820,"(('TH', '2:30 p.m.-4:30 p.m.'),)","('CCJ 3.306',)",Face-to-face,"HARAGAN, KELLY L",open; reserved,,
LAW  397S SMNR: ADV CAPITAL PUNISHMENT         ,28924,"(('TH', '2:30 p.m.-4:30 p.m.'),)","('JON 6.206',)",Face-to-face,"MARCUS, JIMHENDERSON, SHAVONNE",open; reserved,,
LAW  397S SMNR: FIN CLEAN ENRGY TRNSTN         ,29000,"(('TH', '2:30 p.m.-4:30 p.m.'),)","('TNH 2.138',)",Face-to-face,"MORAN, SEAN M",open; reserved,,
